ver,type,input_size,url
alexnet,alexnet,227,https://download.pytorch.org/models/alexnet-owt-4df8aa71.pth
vgg11,vgg,224,https://download.pytorch.org/models/vgg11-bbd30ac9.pth
vgg13,vgg,224,https://download.pytorch.org/models/vgg13-c768596a.pth
vgg16,vgg,224,https://download.pytorch.org/models/vgg16-397923af.pth
vgg19,vgg,224,https://download.pytorch.org/models/vgg19-dcbb9e9d.pth
vgg11_bn,vgg,224,https://download.pytorch.org/models/vgg11_bn-6002323d.pth
vgg13_bn,vgg,224,https://download.pytorch.org/models/vgg13_bn-abd245e5.pth
vgg16_bn,vgg,224,https://download.pytorch.org/models/vgg16_bn-6c64b313.pth
vgg19_bn,vgg,224,https://download.pytorch.org/models/vgg19_bn-c79401a0.pth
resnet18,resnet,224,https://download.pytorch.org/models/resnet18-5c106cde.pth
resnet34,resnet,224,https://download.pytorch.org/models/resnet34-333f7ec4.pth
resnet50,resnet,224,https://download.pytorch.org/models/resnet50-19c8e357.pth
resnet101,resnet,224,https://download.pytorch.org/models/resnet101-5d3b4d8f.pth
resnet152,resnet,224,https://download.pytorch.org/models/resnet152-b121ed2d.pth
resnext50_32x4d,resnet,224,https://download.pytorch.org/models/resnext50_32x4d-7cdf4587.pth
resnext101_32x8d,resnet,224,https://download.pytorch.org/models/resnext101_32x8d-8ba56ff5.pth
wide_resnet50_2,resnet,224,https://download.pytorch.org/models/wide_resnet50_2-95faca4d.pth
wide_resnet101_2,resnet,224,https://download.pytorch.org/models/wide_resnet101_2-32ee1156.pth
squeezenet1_0,squeezenet,227,https://download.pytorch.org/models/squeezenet1_0-a815701f.pth
squeezenet1_1,squeezenet,227,https://download.pytorch.org/models/squeezenet1_1-f364aa15.pth
densenet121,densenet,224,https://download.pytorch.org/models/densenet121-a639ec97.pth
densenet169,densenet,224,https://download.pytorch.org/models/densenet169-b2777c0a.pth
densenet201,densenet,224,https://download.pytorch.org/models/densenet201-c1103571.pth
densenet161,densenet,224,https://download.pytorch.org/models/densenet161-8d451a50.pth
inception_v3,inception,299,https://download.pytorch.org/models/inception_v3_google-1a9a5a14.pth
googlenet,googlenet,224,https://download.pytorch.org/models/googlenet-1378be20.pth
shufflenet_v2_x0_5,shufflenet,224,https://download.pytorch.org/models/shufflenetv2_x0.5-f707e7126e.pth
shufflenet_v2_x1_0,shufflenet,224,https://download.pytorch.org/models/shufflenetv2_x1-5666bf0f80.pth
mobilenet_v2,mobilenet,192,https://download.pytorch.org/models/mobilenet_v2-b0353104.pth
mnasnet0_5,mobilenet,192,https://download.pytorch.org/models/mnasnet0.5_top1_67.823-3ffadce67e.pth
mnasnet1_0,mobilenet,192,https://download.pytorch.org/models/mnasnet1.0_top1_73.512-f206786ef8.pth
